child,parent,child_descriptor,parent_descriptor
R-HSA-112399,R-HSA-162582,IRS-mediated signalling,Signal Transduction
R-HSA-112409,R-HSA-162582,RAF-independent MAPK1/3 activation,Signal Transduction
R-HSA-112411,R-HSA-162582,MAPK1 (ERK2) activation,Signal Transduction
R-HSA-112412,R-HSA-162582,SOS-mediated signalling,Signal Transduction
R-HSA-113418,R-HSA-74160,Formation of the Early Elongation Complex,Gene expression (Transcription)
R-HSA-113501,R-HSA-1640170,Inhibition of replication initiation of damaged DNA by RB1/E2F1,Cell Cycle
R-HSA-113507,R-HSA-1640170,E2F-enabled inhibition of pre-replication complex formation,Cell Cycle
R-HSA-114294,R-HSA-5357801,"Activation, translocation and oligomerization of BAX",Programmed Cell Death
R-HSA-114508,R-HSA-109582,Effects of PIP2 hydrolysis,Hemostasis
R-HSA-114508,R-HSA-162582,Effects of PIP2 hydrolysis,Signal Transduction
R-HSA-114516,R-HSA-109582,Disinhibition of SNARE formation,Hemostasis
R-HSA-114604,R-HSA-109582,GPVI-mediated activation cascade,Hemostasis
R-HSA-114608,R-HSA-109582,Platelet degranulation ,Hemostasis
R-HSA-1169091,R-HSA-168256,Activation of NF-kappaB in B cells,Immune System
R-HSA-1169092,R-HSA-168256,Activation of RAS in B cells,Immune System
R-HSA-1169408,R-HSA-168256,ISG15 antiviral mechanism,Immune System
R-HSA-1170546,R-HSA-168256,Prolactin receptor signaling,Immune System
R-HSA-1181150,R-HSA-1266738,Signaling by NODAL,Developmental Biology
R-HSA-1221632,R-HSA-1640170,Meiotic synapsis,Cell Cycle
R-HSA-1221632,R-HSA-1474165,Meiotic synapsis,Reproduction
R-HSA-1222387,R-HSA-1643685,Tolerance of reactive oxygen produced by macrophages,Disease
R-HSA-1222449,R-HSA-1643685,Mtb iron assimilation by chelation,Disease
R-HSA-1222538,R-HSA-1643685,Tolerance by Mtb to nitric oxide produced by macrophages,Disease
R-HSA-1222541,R-HSA-1643685,Cell redox homeostasis,Disease
R-HSA-1222556,R-HSA-168256,ROS and RNS production in phagocytes,Immune System
R-HSA-1227986,R-HSA-162582,Signaling by ERBB2,Signal Transduction
R-HSA-1234158,R-HSA-8953897,Regulation of gene expression by Hypoxia-inducible Factor,Cellular responses to external stimuli
R-HSA-1234174,R-HSA-8953897,Cellular response to hypoxia,Cellular responses to external stimuli
R-HSA-1234176,R-HSA-8953897,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,Cellular responses to external stimuli
R-HSA-1236382,R-HSA-1643685,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,Disease
R-HSA-1236394,R-HSA-162582,Signaling by ERBB4,Signal Transduction
R-HSA-1236973,R-HSA-168256,Cross-presentation of particulate exogenous antigens (phagosomes),Immune System
R-HSA-1236974,R-HSA-168256,ER-Phagosome pathway,Immune System
R-HSA-1236977,R-HSA-168256,Endosomal/Vacuolar pathway,Immune System
R-HSA-1236978,R-HSA-168256,Cross-presentation of soluble exogenous antigens (endosomes),Immune System
R-HSA-1237044,R-HSA-382551,Erythrocytes take up carbon dioxide and release oxygen,Transport of small molecules
R-HSA-1237112,R-HSA-1430728,Methionine salvage pathway,Metabolism
R-HSA-1247673,R-HSA-382551,Erythrocytes take up oxygen and release carbon dioxide,Transport of small molecules
R-HSA-1250196,R-HSA-162582,SHC1 events in ERBB2 signaling,Signal Transduction
R-HSA-1250342,R-HSA-162582,PI3K events in ERBB4 signaling,Signal Transduction
R-HSA-1250347,R-HSA-162582,SHC1 events in ERBB4 signaling,Signal Transduction
R-HSA-1251932,R-HSA-162582,PLCG1 events in ERBB2 signaling,Signal Transduction
R-HSA-1251985,R-HSA-162582,Nuclear signaling by ERBB4,Signal Transduction
R-HSA-1253288,R-HSA-162582,Downregulation of ERBB4 signaling,Signal Transduction
R-HSA-1257604,R-HSA-162582,PIP3 activates AKT signaling,Signal Transduction
R-HSA-1266695,R-HSA-168256,Interleukin-7 signaling,Immune System
R-HSA-1268020,R-HSA-9609507,Mitochondrial protein import,Protein localization
R-HSA-1295596,R-HSA-162582,Spry regulation of FGF signaling,Signal Transduction
R-HSA-1296025,R-HSA-112316,ATP sensitive Potassium channels,Neuronal System
R-HSA-1296041,R-HSA-112316,Activation of G protein gated Potassium channels,Neuronal System
R-HSA-1296052,R-HSA-112316,Ca2+ activated K+ channels,Neuronal System
R-HSA-1296053,R-HSA-112316,Classical Kir channels,Neuronal System
R-HSA-1296061,R-HSA-112316,HCN channels,Neuronal System
R-HSA-1296067,R-HSA-112316,Potassium transport channels,Neuronal System
R-HSA-1296072,R-HSA-112316,Voltage gated Potassium channels,Neuronal System
R-HSA-1299287,R-HSA-112316,Tandem pore domain halothane-inhibited K+ channel (THIK),Neuronal System
R-HSA-1299308,R-HSA-112316,Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),Neuronal System
R-HSA-1299316,R-HSA-112316,TWIK-releated acid-sensitive K+ channel (TASK),Neuronal System
R-HSA-1299344,R-HSA-112316,TWIK-related spinal cord K+ channel (TRESK),Neuronal System
R-HSA-1299361,R-HSA-112316,TWIK-related alkaline pH activated K+ channel (TALK),Neuronal System
R-HSA-1299503,R-HSA-112316,TWIK related potassium channel (TREK),Neuronal System
R-HSA-1300642,R-HSA-1474165,Sperm Motility And Taxes,Reproduction
R-HSA-1300645,R-HSA-1474165,Acrosome Reaction and Sperm:Oocyte Membrane Binding,Reproduction
R-HSA-1306955,R-HSA-162582,GRB7 events in ERBB2 signaling,Signal Transduction
R-HSA-1307965,R-HSA-162582,betaKlotho-mediated ligand binding,Signal Transduction
R-HSA-1358803,R-HSA-162582,Downregulation of ERBB2:ERBB3 signaling,Signal Transduction
R-HSA-1362277,R-HSA-1640170,Transcription of E2F targets under negative control by DREAM complex,Cell Cycle
R-HSA-1362300,R-HSA-1640170,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,Cell Cycle
R-HSA-1362409,R-HSA-1430728,Mitochondrial iron-sulfur cluster biogenesis,Metabolism
R-HSA-1368071,R-HSA-400253,NR1D1 (REV-ERBA) represses gene expression,Circadian Clock
R-HSA-1368082,R-HSA-400253,RORA activates gene expression,Circadian Clock
R-HSA-1368108,R-HSA-400253,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",Circadian Clock
R-HSA-1369007,R-HSA-382551,Mitochondrial ABC transporters,Transport of small molecules
R-HSA-1369062,R-HSA-382551,ABC transporters in lipid homeostasis,Transport of small molecules
R-HSA-139853,R-HSA-109582,Elevation of cytosolic Ca2+ levels,Hemostasis
R-HSA-139910,R-HSA-5357801,Activation of BMF and translocation to mitochondria,Programmed Cell Death
R-HSA-139915,R-HSA-5357801,Activation of PUMA and translocation to mitochondria,Programmed Cell Death
R-HSA-140180,R-HSA-1430728,COX reactions,Metabolism
R-HSA-140342,R-HSA-5357801,Apoptosis induced DNA fragmentation,Programmed Cell Death
R-HSA-140534,R-HSA-5357801,Caspase activation via Death Receptors in the presence of ligand,Programmed Cell Death
R-HSA-140834,R-HSA-109582,Extrinsic Pathway of Fibrin Clot Formation,Hemostasis
R-HSA-140837,R-HSA-109582,Intrinsic Pathway of Fibrin Clot Formation,Hemostasis
R-HSA-140875,R-HSA-109582,Common Pathway of Fibrin Clot Formation,Hemostasis
R-HSA-141333,R-HSA-1430728,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Metabolism
R-HSA-141334,R-HSA-1430728,PAOs oxidise polyamines to amines,Metabolism
R-HSA-141405,R-HSA-1640170,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,Cell Cycle
R-HSA-141430,R-HSA-1640170,Inactivation of APC/C via direct inhibition of the APC/C complex,Cell Cycle
R-HSA-141444,R-HSA-1640170,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Cell Cycle
R-HSA-1433557,R-HSA-162582,Signaling by SCF-KIT,Signal Transduction
R-HSA-1433559,R-HSA-162582,Regulation of KIT signaling,Signal Transduction
R-HSA-1433617,R-HSA-1266738,Regulation of signaling by NODAL,Developmental Biology
R-HSA-1442490,R-HSA-1474244,Collagen degradation,Extracellular matrix organization
R-HSA-1445148,R-HSA-5653656,Translocation of SLC2A4 (GLUT4) to the plasma membrane,Vesicle-mediated transport
R-HSA-1461957,R-HSA-168256,Beta defensins,Immune System
R-HSA-1461973,R-HSA-168256,Defensins,Immune System
R-HSA-1462054,R-HSA-168256,Alpha-defensins,Immune System
R-HSA-1474151,R-HSA-1430728,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",Metabolism
R-HSA-1474228,R-HSA-1474244,Degradation of the extracellular matrix,Extracellular matrix organization
R-HSA-1474244,R-HSA-1474244,Extracellular matrix organization,Extracellular matrix organization
R-HSA-1475029,R-HSA-1430728,Reversible hydration of carbon dioxide,Metabolism
R-HSA-1482788,R-HSA-1430728,Acyl chain remodelling of PC,Metabolism
R-HSA-1482798,R-HSA-1430728,Acyl chain remodeling of CL,Metabolism
R-HSA-1482801,R-HSA-1430728,Acyl chain remodelling of PS,Metabolism
R-HSA-1482839,R-HSA-1430728,Acyl chain remodelling of PE,Metabolism
R-HSA-1482883,R-HSA-1430728,Acyl chain remodeling of DAG and TAG,Metabolism
R-HSA-1482922,R-HSA-1430728,Acyl chain remodelling of PI,Metabolism
R-HSA-1482925,R-HSA-1430728,Acyl chain remodelling of PG,Metabolism
R-HSA-1483076,R-HSA-1430728,Synthesis of CL,Metabolism
R-HSA-1483101,R-HSA-1430728,Synthesis of PS,Metabolism
R-HSA-1483115,R-HSA-1430728,Hydrolysis of LPC,Metabolism
R-HSA-1483148,R-HSA-1430728,Synthesis of PG,Metabolism
R-HSA-1483152,R-HSA-1430728,Hydrolysis of LPE,Metabolism
R-HSA-1483166,R-HSA-1430728,Synthesis of PA,Metabolism
R-HSA-1483191,R-HSA-1430728,Synthesis of PC,Metabolism
R-HSA-1483196,R-HSA-1430728,PI and PC transport between ER and Golgi membranes,Metabolism
R-HSA-1483206,R-HSA-1430728,Glycerophospholipid biosynthesis,Metabolism
R-HSA-1483213,R-HSA-1430728,Synthesis of PE,Metabolism
R-HSA-1483226,R-HSA-1430728,Synthesis of PI,Metabolism
R-HSA-1483248,R-HSA-1430728,Synthesis of PIPs at the ER membrane,Metabolism
R-HSA-1483255,R-HSA-1430728,PI Metabolism,Metabolism
R-HSA-1489509,R-HSA-162582,DAG and IP3 signaling,Signal Transduction
R-HSA-1502540,R-HSA-162582,Signaling by Activin,Signal Transduction
R-HSA-1538133,R-HSA-1640170,G0 and Early G1,Cell Cycle
R-HSA-156581,R-HSA-1430728,Methylation,Metabolism
R-HSA-156582,R-HSA-1430728,Acetylation,Metabolism
R-HSA-156584,R-HSA-1430728,Cytosolic sulfonation of small molecules,Metabolism
R-HSA-156588,R-HSA-1430728,Glucuronidation,Metabolism
R-HSA-156590,R-HSA-1430728,Glutathione conjugation,Metabolism
R-HSA-1566948,R-HSA-1474244,Elastic fibre formation,Extracellular matrix organization
R-HSA-1566977,R-HSA-1474244,Fibronectin matrix formation,Extracellular matrix organization
R-HSA-156711,R-HSA-1640170,Polo-like kinase mediated events,Cell Cycle
R-HSA-156827,R-HSA-392499,L13a-mediated translational silencing of Ceruloplasmin expression,Metabolism of proteins
R-HSA-156842,R-HSA-392499,Eukaryotic Translation Elongation,Metabolism of proteins
R-HSA-156902,R-HSA-392499,Peptide chain elongation,Metabolism of proteins
R-HSA-159227,R-HSA-8953854,Transport of the SLBP independent Mature mRNA,Metabolism of RNA
R-HSA-159230,R-HSA-8953854,Transport of the SLBP Dependant Mature mRNA,Metabolism of RNA
R-HSA-159231,R-HSA-8953854,Transport of Mature mRNA Derived from an Intronless Transcript,Metabolism of RNA
R-HSA-159236,R-HSA-8953854,Transport of Mature mRNA derived from an Intron-Containing Transcript,Metabolism of RNA
R-HSA-1592389,R-HSA-1474244,Activation of Matrix Metalloproteinases,Extracellular matrix organization
R-HSA-159418,R-HSA-1430728,Recycling of bile acids and salts,Metabolism
R-HSA-159740,R-HSA-392499,Gamma-carboxylation of protein precursors,Metabolism of proteins
R-HSA-159763,R-HSA-392499,Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,Metabolism of proteins
R-HSA-159782,R-HSA-392499,Removal of aminoterminal propeptides from gamma-carboxylated proteins,Metabolism of proteins
R-HSA-1606322,R-HSA-168256,ZBP1(DAI) mediated induction of type I IFNs,Immune System
R-HSA-1606341,R-HSA-168256,IRF3 mediated activation of type 1 IFN,Immune System
R-HSA-1614517,R-HSA-1430728,Sulfide oxidation to sulfate,Metabolism
R-HSA-1614558,R-HSA-1430728,Degradation of cysteine and homocysteine,Metabolism
R-HSA-1614603,R-HSA-1430728,Cysteine formation from homocysteine,Metabolism
R-HSA-1614635,R-HSA-1430728,Sulfur amino acid metabolism,Metabolism
R-HSA-162585,R-HSA-1643685,Uncoating of the HIV Virion,Disease
R-HSA-162588,R-HSA-1643685,Budding and maturation of HIV virion,Disease
R-HSA-162592,R-HSA-1643685,Integration of provirus,Disease
R-HSA-162594,R-HSA-1643685,Early Phase of HIV Life Cycle,Disease
R-HSA-162599,R-HSA-1643685,Late Phase of HIV Life Cycle,Disease
R-HSA-162658,R-HSA-1640170,Golgi Cisternae Pericentriolar Stack Reorganization,Cell Cycle
R-HSA-162699,R-HSA-392499,Synthesis of dolichyl-phosphate mannose,Metabolism of proteins
R-HSA-162710,R-HSA-392499,Synthesis of glycosylphosphatidylinositol (GPI),Metabolism of proteins
R-HSA-162791,R-HSA-392499,Attachment of GPI anchor to uPAR,Metabolism of proteins
R-HSA-163125,R-HSA-392499,Post-translational modification: synthesis of GPI-anchored proteins,Metabolism of proteins
R-HSA-163210,R-HSA-1430728,Formation of ATP by chemiosmotic coupling,Metabolism
R-HSA-163282,R-HSA-74160,Mitochondrial transcription initiation,Gene expression (Transcription)
R-HSA-1632852,R-HSA-9612973,Macroautophagy,Autophagy
R-HSA-163316,R-HSA-74160,Mitochondrial transcription termination,Gene expression (Transcription)
R-HSA-163358,R-HSA-1430728,PKA-mediated phosphorylation of key metabolic factors,Metabolism
R-HSA-163359,R-HSA-1430728,Glucagon signaling in metabolic regulation,Metabolism
R-HSA-163560,R-HSA-1430728,Triglyceride catabolism,Metabolism
R-HSA-163615,R-HSA-162582,PKA activation,Signal Transduction
R-HSA-163680,R-HSA-1430728,AMPK inhibits chREBP transcriptional activation activity,Metabolism
R-HSA-163685,R-HSA-1430728,Integration of energy metabolism,Metabolism
R-HSA-163754,R-HSA-1430728,Insulin effects increased synthesis of Xylulose-5-Phosphate,Metabolism
R-HSA-163765,R-HSA-1430728,ChREBP activates metabolic gene expression,Metabolism
R-HSA-163767,R-HSA-1430728,PP2A-mediated dephosphorylation of key metabolic factors,Metabolism
R-HSA-163841,R-HSA-392499,"Gamma carboxylation, hypusine formation and arylsulfatase activation",Metabolism of proteins
R-HSA-164378,R-HSA-1430728,PKA activation in glucagon signalling,Metabolism
R-HSA-164516,R-HSA-1643685,Minus-strand DNA synthesis,Disease
R-HSA-164525,R-HSA-1643685,Plus-strand DNA synthesis,Disease
R-HSA-164843,R-HSA-1643685,2-LTR circle formation,Disease
R-HSA-164939,R-HSA-1643685,Nef mediated downregulation of CD28 cell surface expression,Disease
R-HSA-164940,R-HSA-1643685,Nef mediated downregulation of MHC class I complex cell surface expression,Disease
R-HSA-164944,R-HSA-1643685,Nef and signal transduction,Disease
R-HSA-165054,R-HSA-1643685,Rev-mediated nuclear export of HIV RNA,Disease
R-HSA-1650814,R-HSA-1474244,Collagen biosynthesis and modifying enzymes,Extracellular matrix organization
R-HSA-165158,R-HSA-162582,Activation of AKT2,Signal Transduction
R-HSA-165159,R-HSA-162582,MTOR signalling,Signal Transduction
R-HSA-165160,R-HSA-162582,PDE3B signalling,Signal Transduction
R-HSA-165181,R-HSA-162582,Inhibition of TSC complex formation by PKB,Signal Transduction
R-HSA-1655829,R-HSA-1430728,Regulation of cholesterol biosynthesis by SREBP (SREBF),Metabolism
R-HSA-166016,R-HSA-168256,Toll Like Receptor 4 (TLR4) Cascade,Immune System
R-HSA-166020,R-HSA-168256,Transfer of LPS from LBP carrier to CD14,Immune System
R-HSA-1660499,R-HSA-1430728,Synthesis of PIPs at the plasma membrane,Metabolism
R-HSA-1660514,R-HSA-1430728,Synthesis of PIPs at the Golgi membrane,Metabolism
R-HSA-1660516,R-HSA-1430728,Synthesis of PIPs at the early endosome membrane,Metabolism
R-HSA-1660517,R-HSA-1430728,Synthesis of PIPs at the late endosome membrane,Metabolism
R-HSA-166058,R-HSA-168256,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,Immune System
R-HSA-1660661,R-HSA-1430728,Sphingolipid de novo biosynthesis,Metabolism
R-HSA-1660662,R-HSA-1430728,Glycosphingolipid metabolism,Metabolism
R-HSA-166166,R-HSA-168256,MyD88-independent TLR4 cascade ,Immune System
R-HSA-166208,R-HSA-162582,mTORC1-mediated signalling,Signal Transduction
R-HSA-1663150,R-HSA-392499,The activation of arylsulfatases,Metabolism of proteins
R-HSA-166662,R-HSA-168256,Lectin pathway of complement activation,Immune System
R-HSA-166663,R-HSA-168256,Initial triggering of complement,Immune System
R-HSA-166665,R-HSA-168256,Terminal pathway of complement,Immune System
R-HSA-167021,R-HSA-162582,PLC-gamma1 signalling,Signal Transduction
R-HSA-167044,R-HSA-162582,Signalling to RAS,Signal Transduction
R-HSA-167060,R-HSA-162582,NGF processing,Signal Transduction
R-HSA-167152,R-HSA-1643685,Formation of HIV elongation complex in the absence of HIV Tat,Disease
R-HSA-167158,R-HSA-1643685,Formation of the HIV-1 Early Elongation Complex,Disease
R-HSA-167160,R-HSA-1643685,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,Disease
R-HSA-167161,R-HSA-1643685,HIV Transcription Initiation,Disease
R-HSA-167162,R-HSA-1643685,RNA Polymerase II HIV Promoter Escape,Disease
R-HSA-167172,R-HSA-1643685,Transcription of the HIV genome,Disease
R-HSA-167200,R-HSA-1643685,Formation of HIV-1 elongation complex containing HIV-1 Tat,Disease
R-HSA-167238,R-HSA-1643685,Pausing and recovery of Tat-mediated HIV elongation,Disease
R-HSA-167242,R-HSA-1643685,Abortive elongation of HIV-1 transcript in the absence of Tat,Disease
R-HSA-167243,R-HSA-1643685,Tat-mediated HIV elongation arrest and recovery,Disease
R-HSA-167246,R-HSA-1643685,Tat-mediated elongation of the HIV-1 transcript,Disease
R-HSA-167287,R-HSA-1643685,HIV elongation arrest and recovery,Disease
R-HSA-167290,R-HSA-1643685,Pausing and recovery of HIV elongation,Disease
R-HSA-167590,R-HSA-1643685,Nef Mediated CD4 Down-regulation,Disease
R-HSA-167826,R-HSA-1430728,The fatty acid cycling model,Metabolism
R-HSA-167827,R-HSA-1430728,The proton buffering model,Metabolism
R-HSA-1679131,R-HSA-168256,Trafficking and processing of endosomal TLR,Immune System
R-HSA-168138,R-HSA-168256,Toll Like Receptor 9 (TLR9) Cascade,Immune System
R-HSA-168142,R-HSA-168256,Toll Like Receptor 10 (TLR10) Cascade,Immune System
R-HSA-168164,R-HSA-168256,Toll Like Receptor 3 (TLR3) Cascade,Immune System
R-HSA-168176,R-HSA-168256,Toll Like Receptor 5 (TLR5) Cascade,Immune System
R-HSA-168179,R-HSA-168256,Toll Like Receptor TLR1:TLR2 Cascade,Immune System
R-HSA-168181,R-HSA-168256,Toll Like Receptor 7/8 (TLR7/8) Cascade,Immune System
R-HSA-168188,R-HSA-168256,Toll Like Receptor TLR6:TLR2 Cascade,Immune System
R-HSA-168255,R-HSA-1643685,Influenza Infection,Disease
R-HSA-168271,R-HSA-1643685,Transport of Ribonucleoproteins into the Host Nucleus,Disease
R-HSA-168275,R-HSA-1643685,Entry of Influenza Virion into Host Cell via Endocytosis,Disease
R-HSA-168276,R-HSA-1643685,NS1 Mediated Effects on Host Pathways,Disease
R-HSA-168277,R-HSA-1643685,Influenza Virus Induced Apoptosis,Disease
R-HSA-168288,R-HSA-1643685,Fusion of the Influenza Virion to the Host Cell Endosome,Disease
R-HSA-168298,R-HSA-1643685,Release,Disease
R-HSA-168302,R-HSA-1643685,Budding,Disease
R-HSA-168303,R-HSA-1643685,Packaging of Eight RNA Segments,Disease
R-HSA-168315,R-HSA-1643685,Inhibition of Host mRNA Processing and RNA Silencing,Disease
R-HSA-168316,R-HSA-1643685,Assembly of Viral Components at the Budding Site,Disease
R-HSA-168325,R-HSA-1643685,Viral Messenger RNA Synthesis,Disease
R-HSA-168330,R-HSA-1643685,Viral RNP Complexes in the Host Cell Nucleus,Disease
R-HSA-168333,R-HSA-1643685,NEP/NS2 Interacts with the Cellular Export Machinery,Disease
R-HSA-168336,R-HSA-1643685,Uncoating of the Influenza Virion,Disease
R-HSA-168638,R-HSA-168256,NOD1/2 Signaling Pathway,Immune System
R-HSA-168874,R-HSA-1643685,"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus",Disease
R-HSA-168888,R-HSA-1643685,Inhibition of IFN-beta,Disease
R-HSA-168927,R-HSA-168256,"TICAM1, RIP1-mediated IKK complex recruitment",Immune System
R-HSA-168928,R-HSA-168256,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Immune System
R-HSA-169131,R-HSA-1643685,Inhibition of PKR,Disease
R-HSA-169911,R-HSA-5357801,Regulation of Apoptosis,Programmed Cell Death
R-HSA-170145,R-HSA-1640170,Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,Cell Cycle
R-HSA-170660,R-HSA-162582,Adenylate cyclase activating pathway,Signal Transduction
R-HSA-170670,R-HSA-112316,Adenylate cyclase inhibitory pathway,Neuronal System
R-HSA-170670,R-HSA-162582,Adenylate cyclase inhibitory pathway,Signal Transduction
R-HSA-170822,R-HSA-1430728,Regulation of Glucokinase by Glucokinase Regulatory Protein,Metabolism
R-HSA-170968,R-HSA-162582,Frs2-mediated activation,Signal Transduction
R-HSA-170984,R-HSA-162582,ARMS-mediated activation,Signal Transduction
R-HSA-171007,R-HSA-162582,p38MAPK events,Signal Transduction
R-HSA-171286,R-HSA-1643685,Synthesis and processing of ENV and VPU,Disease
R-HSA-171306,R-HSA-1640170,Packaging Of Telomere Ends,Cell Cycle
R-HSA-171319,R-HSA-1640170,Telomere Extension By Telomerase,Cell Cycle
R-HSA-173107,R-HSA-1643685,Binding and entry of HIV virion,Disease
R-HSA-173599,R-HSA-1430728,"Formation of the active cofactor, UDP-glucuronate",Metabolism
R-HSA-173623,R-HSA-168256,Classical antibody-mediated complement activation,Immune System
R-HSA-173736,R-HSA-168256,Alternative complement activation,Immune System
R-HSA-174048,R-HSA-1640170,APC/C:Cdc20 mediated degradation of Cyclin B,Cell Cycle
R-HSA-174084,R-HSA-1640170,Autodegradation of Cdh1 by Cdh1:APC/C,Cell Cycle
R-HSA-174113,R-HSA-1640170,SCF-beta-TrCP mediated degradation of Emi1,Cell Cycle
R-HSA-174154,R-HSA-1640170,APC/C:Cdc20 mediated degradation of Securin,Cell Cycle
R-HSA-174178,R-HSA-1640170,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,Cell Cycle
R-HSA-174184,R-HSA-1640170,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,Cell Cycle
R-HSA-174362,R-HSA-1430728,Transport and synthesis of PAPS,Metabolism
R-HSA-174403,R-HSA-1430728,Glutathione synthesis and recycling,Metabolism
R-HSA-174411,R-HSA-1640170,Polymerase switching on the C-strand of the telomere,Cell Cycle
R-HSA-174414,R-HSA-1640170,Processive synthesis on the C-strand of the telomere,Cell Cycle
R-HSA-174417,R-HSA-1640170,Telomere C-strand (Lagging Strand) Synthesis,Cell Cycle
